,Type,date,distance_bin_100,visitation
0,African,2019-01,5932.854123958005,0.2939203354297694
1,African,2019-01,33616.70298710233,0.03773584905660377
2,African,2019-02,5932.854123958005,0.32040527290554527
3,African,2019-02,13842.525227713528,0.11460943457893016
4,African,2019-02,17797.36077959129,0.07669680793114718
5,African,2019-03,5932.854123958005,0.3140364789849326
6,African,2019-03,9887.689675835767,0.1633624107850912
7,African,2019-03,17797.36077959129,0.08009516256938938
8,African,2019-03,21752.19633146905,0.06379416688695039
9,African,2019-03,25707.03188334681,0.05850735747642964
10,African,2019-03,37571.538538980094,0.02669838752312979
11,African,2019-04,9887.689675835767,0.17504488330341114
12,African,2019-04,13842.525227713528,0.11418312387791742
13,African,2019-04,21752.19633146905,0.06840215439856373
14,African,2019-05,5932.854123958005,0.32060826865198794
15,African,2019-05,9887.689675835767,0.1671946776492951
16,African,2019-05,13842.525227713528,0.11967368921273562
17,African,2019-06,9887.689675835767,0.16769073220686123
18,African,2019-06,13842.525227713528,0.12254650964328384
19,African,2019-07,5932.854123958005,0.3074208317436093
20,African,2019-07,9887.689675835767,0.16806562380770698
21,African,2019-07,17797.36077959129,0.07716520412056467
22,African,2019-07,21752.19633146905,0.07153758107592521
23,African,2019-07,29661.867435224573,0.041968714231209465
24,African,2019-07,33616.70298710233,0.03796260969095765
25,African,2019-08,5932.854123958005,0.302331862789232
26,African,2019-08,9887.689675835767,0.17412442603763392
27,African,2019-08,13842.525227713528,0.11857387233276312
28,African,2019-08,17797.36077959129,0.0817502475916089
29,African,2019-08,25707.03188334681,0.055730620329521925
30,African,2019-09,5932.854123958005,0.298631157463451
31,African,2019-09,9887.689675835767,0.17347983983611137
32,African,2019-09,13842.525227713528,0.11444268553869075
33,African,2019-09,17797.36077959129,0.0906974578638607
34,African,2019-09,21752.19633146905,0.06183071049445945
35,African,2019-09,33616.70298710233,0.037340534500419034
36,African,2019-09,37571.538538980094,0.0312878294068349
37,African,2019-09,45481.209642735615,0.011360461867957911
38,African,2019-10,5932.854123958005,0.31459143968871595
39,African,2019-10,13842.525227713528,0.11429961089494163
40,African,2019-10,17797.36077959129,0.07986381322957198
41,African,2019-10,57345.716298368905,0.00933852140077821
42,African,2019-11,5932.854123958005,0.3008548669127647
43,African,2019-11,9887.689675835767,0.167184767825918
44,African,2019-11,17797.36077959129,0.07217796774820284
45,African,2019-11,21752.19633146905,0.07159510394404507
46,African,2019-11,29661.867435224573,0.04245191373615698
47,African,2019-11,37571.538538980094,0.030114629881484358
48,African,2019-12,5932.854123958005,0.2851911396927474
49,African,2019-12,13842.525227713528,0.11647016791711326
50,African,2019-12,17797.36077959129,0.08002858163629868
51,African,2019-12,21752.19633146905,0.06663093962129332
52,African,2019-12,29661.867435224573,0.047606287959985706
53,African,2019-12,49436.04519461338,0.010896748838871026
54,African,2019-12,53390.88074649114,0.010896748838871026
55,African,2019-12,108758.5784727798,0.0001786352268667381
56,African,2020-01,5932.854123958005,0.29995212256623044
57,African,2020-01,9887.689675835767,0.16717203957867857
58,African,2020-01,13842.525227713528,0.12384296201723588
59,African,2020-01,17797.36077959129,0.08234918608362592
60,African,2020-01,21752.19633146905,0.06591126715608044
61,African,2020-01,33616.70298710233,0.033354612192786466
62,African,2020-01,37571.538538980094,0.03080114905841047
63,African,2020-02,5932.854123958005,0.2957517813655633
64,African,2020-02,33616.70298710233,0.040317488951023724
65,African,2020-02,37571.538538980094,0.030846937855145667
66,African,2020-02,49436.04519461338,0.009560746820600704
67,African,2020-03,9887.689675835767,0.16862523007220728
68,African,2020-03,21752.19633146905,0.060172731134079005
69,African,2020-03,33616.70298710233,0.03596205578366134
70,African,2020-04,13842.525227713528,0.12867765923052052
71,African,2020-04,17797.36077959129,0.08309085030714516
72,African,2020-05,5932.854123958005,0.34361968306922436
73,African,2020-05,9887.689675835767,0.1670141784820684
74,African,2020-05,17797.36077959129,0.06484570475396163
75,African,2020-05,33616.70298710233,0.02981651376146789
76,African,2020-06,9887.689675835767,0.17605300520586845
77,African,2020-06,13842.525227713528,0.11973497397065783
78,African,2020-06,17797.36077959129,0.07256665089130777
79,African,2020-06,21752.19633146905,0.06041962454645843
80,African,2020-07,5932.854123958005,0.3044345557771981
81,African,2020-07,9887.689675835767,0.16725487187356144
82,African,2020-07,17797.36077959129,0.08439466011968698
83,African,2020-07,25707.03188334681,0.053859137640018415
84,African,2020-07,57345.716298368905,0.007058462482737456
85,African,2020-08,9887.689675835767,0.1652439024390244
86,African,2020-08,17797.36077959129,0.07439024390243902
87,African,2020-08,25707.03188334681,0.05472560975609756
88,African,2020-08,29661.867435224573,0.04100609756097561
89,African,2020-09,5932.854123958005,0.2971676211112831
90,African,2020-09,9887.689675835767,0.17272867977093329
91,African,2020-09,17797.36077959129,0.07939947376567096
92,African,2020-09,21752.19633146905,0.06376721869679616
93,African,2020-09,45481.209642735615,0.01950162513542795
94,African,2020-10,5932.854123958005,0.29432827270123174
95,African,2020-10,9887.689675835767,0.17072472071039815
96,African,2020-10,13842.525227713528,0.11629905471211688
97,African,2020-10,21752.19633146905,0.06617015181896305
98,African,2020-10,33616.70298710233,0.0365224863935835
99,African,2020-10,45481.209642735615,0.017330277857347465
100,African,2020-11,5932.854123958005,0.310889728615596
101,African,2020-11,13842.525227713528,0.11130195809000344
102,African,2020-11,25707.03188334681,0.04620405358983167
103,African,2020-12,5932.854123958005,0.3053176302640971
104,African,2020-12,13842.525227713528,0.11902212705210564
105,African,2020-12,25707.03188334681,0.052284082798001424
106,African,2020-12,33616.70298710233,0.02212705210563883
