Type,date,visitation,placekey
American,2019-03,135,2
American,2019-03,177,2
American,2019-03,230,2
American,2019-04,2,967132
American,2019-04,3,262977
American,2019-04,4,105566
American,2019-04,5,124432
American,2019-04,6,74755
American,2019-04,7,47168
American,2019-04,8,31629
American,2019-04,9,22033
American,2019-04,10,16292
American,2019-04,11,12050
American,2019-04,12,9435
American,2019-04,13,7331
American,2019-04,14,5933
American,2019-04,15,4655
American,2019-04,16,3920
American,2019-04,17,3193
American,2019-04,18,2698
American,2019-04,19,2340
American,2019-04,20,1989
American,2019-04,21,1621
American,2019-04,22,1518
American,2019-04,23,1356
American,2019-04,24,1132
American,2019-04,25,903
American,2019-04,26,798
American,2019-04,27,705
American,2019-04,28,627
American,2019-04,29,590
American,2019-04,30,475
American,2019-04,31,444
American,2019-04,32,371
American,2019-04,33,343
American,2019-04,34,301
American,2019-04,35,274
American,2019-04,36,264
American,2019-04,37,238
American,2019-04,38,223
American,2019-04,39,198
American,2019-04,40,166
American,2019-04,41,191
American,2019-04,42,141
American,2019-04,43,120
American,2019-04,44,137
American,2019-04,45,121
American,2019-04,46,113
American,2019-04,47,109
American,2019-04,48,103
American,2019-04,49,89
American,2019-04,50,73
American,2019-04,51,75
American,2019-04,54,62
American,2019-04,56,52
American,2019-04,57,46
American,2019-04,59,46
American,2019-04,61,48
American,2019-04,62,39
American,2019-04,63,36
American,2019-04,70,28
American,2019-04,71,19
American,2019-04,80,12
American,2019-04,85,12
American,2019-04,97,7
American,2019-04,99,8
American,2019-04,122,7
American,2019-04,162,2
American,2019-04,237,1
American,2019-05,2,1029141
American,2019-05,3,280091
American,2019-05,4,112286
American,2019-05,5,134729
American,2019-05,6,82010
American,2019-05,7,52918
American,2019-05,8,35573
American,2019-05,9,25048
American,2019-05,10,18423
American,2019-05,11,13857
American,2019-05,12,11049
American,2019-05,13,8652
American,2019-05,14,7047
American,2019-05,15,5713
American,2019-05,16,4690
American,2019-05,17,3934
American,2019-05,18,3211
American,2019-05,19,2679
American,2019-05,20,2374
American,2019-05,21,2057
American,2019-05,22,1716
American,2019-05,23,1498
American,2019-05,24,1349
American,2019-05,25,1120
American,2019-05,26,1032
American,2019-05,27,917
American,2019-05,28,783
American,2019-05,29,712
American,2019-05,30,646
American,2019-05,31,530
American,2019-05,32,530
American,2019-05,33,436
American,2019-05,34,350
American,2019-05,35,366
American,2019-05,36,333
American,2019-05,37,268
American,2019-05,38,255
American,2019-05,39,246
American,2019-05,40,193
American,2019-05,41,184
American,2019-05,42,200
American,2019-05,43,173
American,2019-05,44,146
American,2019-05,45,110
American,2019-05,46,134
American,2019-05,47,118
American,2019-05,48,94
American,2019-05,49,111
American,2019-05,50,96
American,2019-05,51,94
American,2019-05,53,85
American,2019-05,54,62
American,2019-05,56,66
American,2019-05,57,41
American,2019-05,58,56
American,2019-05,60,40
American,2019-05,62,38
American,2019-05,63,43
American,2019-05,66,26
American,2019-05,69,25
American,2019-05,73,26
American,2019-05,78,19
American,2019-05,80,22
American,2019-05,83,10
American,2019-05,84,22
American,2019-05,96,7
American,2019-05,97,9
American,2019-05,149,1
American,2019-05,219,2
American,2019-05,293,1
American,2019-06,2,1012034
American,2019-06,3,276270
American,2019-06,4,110383
American,2019-06,5,130700
American,2019-06,6,79983
American,2019-06,7,51035
American,2019-06,8,34405
American,2019-06,9,24177
American,2019-06,10,17641
American,2019-06,11,13113
American,2019-06,12,10272
American,2019-06,13,8118
American,2019-06,14,6585
American,2019-06,15,5266
American,2019-06,16,4314
American,2019-06,17,3598
American,2019-06,18,2974
American,2019-06,19,2511
American,2019-06,20,2178
American,2019-06,21,1819
American,2019-06,22,1556
American,2019-06,23,1345
American,2019-06,24,1136
American,2019-06,25,1026
American,2019-06,26,968
American,2019-06,27,852
American,2019-06,28,707
American,2019-06,29,669
American,2019-06,30,567
American,2019-06,31,506
American,2019-06,32,462
American,2019-06,33,399
American,2019-06,34,343
American,2019-06,35,324
American,2019-06,36,283
American,2019-06,37,211
American,2019-06,38,215
American,2019-06,39,261
American,2019-06,40,197
American,2019-06,41,176
American,2019-06,42,167
American,2019-06,43,135
American,2019-06,44,143
American,2019-06,45,114
American,2019-06,46,138
American,2019-06,47,104
American,2019-06,50,92
American,2019-06,52,78
American,2019-06,54,47
American,2019-06,57,51
American,2019-06,58,38
American,2019-06,59,40
American,2019-06,62,44
American,2019-06,63,26
American,2019-06,69,23
American,2019-06,76,16
American,2019-06,77,22
American,2019-06,102,5
American,2019-06,106,8
American,2019-06,136,2
American,2019-06,217,1
American,2019-06,238,1
American,2019-07,2,944803
American,2019-07,3,256519
American,2019-07,4,102777
American,2019-07,5,121681
American,2019-07,6,71909
American,2019-07,7,45495
American,2019-07,8,30358
American,2019-07,9,20653
American,2019-07,10,15382
American,2019-07,11,11687
American,2019-07,12,8752
American,2019-07,13,6946
American,2019-07,14,5484
American,2019-07,15,4467
American,2019-07,16,3579
American,2019-07,17,3036
American,2019-07,18,2490
American,2019-07,19,2121
American,2019-07,20,1816
American,2019-07,21,1499
American,2019-07,22,1297
American,2019-07,23,1103
American,2019-07,24,985
American,2019-07,25,827
American,2019-07,26,752
American,2019-07,27,664
American,2019-07,28,591
American,2019-07,29,505
American,2019-07,30,433
American,2019-07,31,415
American,2019-07,32,371
American,2019-07,33,322
American,2019-07,34,270
American,2019-07,35,275
American,2019-07,36,253
American,2019-07,37,198
American,2019-07,38,193
American,2019-07,39,171
American,2019-07,40,152
American,2019-07,42,135
American,2019-07,44,114
American,2019-07,45,93
American,2019-07,46,88
American,2019-07,47,90
American,2019-07,48,72
American,2019-07,51,57
American,2019-07,52,55
American,2019-07,53,64
American,2019-07,54,39
American,2019-07,56,41
American,2019-07,58,44
American,2019-07,59,32
American,2019-07,60,33
American,2019-07,63,26
American,2019-07,73,15
American,2019-07,82,9
American,2019-07,88,5
American,2019-07,91,4
American,2019-07,103,3
American,2019-07,108,6
American,2019-07,182,2
American,2019-07,200,2
American,2019-08,2,994663
American,2019-08,3,270608
American,2019-08,4,108039
American,2019-08,5,130353
American,2019-08,6,77736
American,2019-08,7,49130
American,2019-08,8,33012
American,2019-08,9,22893
American,2019-08,10,16875
American,2019-08,11,13007
American,2019-08,12,9844
American,2019-08,13,7669
American,2019-08,14,6213
American,2019-08,15,5109
American,2019-08,16,4397
American,2019-08,17,3555
American,2019-08,18,2962
American,2019-08,19,2454
American,2019-08,20,2083
American,2019-08,21,1780
American,2019-08,22,1531
American,2019-08,23,1406
American,2019-08,24,1216
American,2019-08,25,1052
American,2019-08,26,931
American,2019-08,27,798
American,2019-08,28,734
American,2019-08,29,710
American,2019-08,30,561
American,2019-08,31,505
American,2019-08,32,498
American,2019-08,33,416
American,2019-08,34,357
American,2019-08,35,324
American,2019-08,36,312
American,2019-08,37,302
American,2019-08,38,268
American,2019-08,40,218
American,2019-08,41,195
American,2019-08,42,190
American,2019-08,43,181
American,2019-08,44,160
American,2019-08,45,143
American,2019-08,46,119
American,2019-08,47,121
American,2019-08,48,120
